,BY
2008-03-17,Osterferien
2008-03-18,Osterferien
2008-03-19,Osterferien
2008-03-20,Osterferien
2008-03-21,Osterferien
2008-03-22,Osterferien
2008-03-23,Osterferien
2008-03-24,Osterferien
2008-03-25,Osterferien
2008-03-26,Osterferien
2008-03-27,Osterferien
2008-03-28,Osterferien
2008-05-13,Pfingstferien
2008-05-14,Pfingstferien
2008-05-15,Pfingstferien
2008-05-16,Pfingstferien
2008-05-17,Pfingstferien
2008-05-18,Pfingstferien
2008-05-19,Pfingstferien
2008-05-20,Pfingstferien
2008-05-21,Pfingstferien
2008-05-22,Pfingstferien
2008-05-23,Pfingstferien
2008-08-04,Sommerferien
2008-08-05,Sommerferien
2008-08-06,Sommerferien
2008-08-07,Sommerferien
2008-08-08,Sommerferien
2008-08-09,Sommerferien
2008-08-10,Sommerferien
2008-08-11,Sommerferien
2008-08-12,Sommerferien
2008-08-13,Sommerferien
2008-08-14,Sommerferien
2008-08-15,Sommerferien
2008-08-16,Sommerferien
2008-08-17,Sommerferien
2008-08-18,Sommerferien
2008-08-19,Sommerferien
2008-08-20,Sommerferien
2008-08-21,Sommerferien
2008-08-22,Sommerferien
2008-08-23,Sommerferien
2008-08-24,Sommerferien
2008-08-25,Sommerferien
2008-08-26,Sommerferien
2008-08-27,Sommerferien
2008-08-28,Sommerferien
2008-08-29,Sommerferien
2008-08-30,Sommerferien
2008-08-31,Sommerferien
2008-09-01,Sommerferien
2008-09-02,Sommerferien
2008-09-03,Sommerferien
2008-09-04,Sommerferien
2008-09-05,Sommerferien
2008-09-06,Sommerferien
2008-09-07,Sommerferien
2008-09-08,Sommerferien
2008-09-09,Sommerferien
2008-09-10,Sommerferien
2008-09-11,Sommerferien
2008-09-12,Sommerferien
2008-09-13,Sommerferien
2008-09-14,Sommerferien
2008-09-15,Sommerferien
2008-11-03,Herbstferien
2008-11-04,Herbstferien
2008-11-05,Herbstferien
2008-11-06,Herbstferien
2008-11-07,Herbstferien
2008-12-22,Weihnachtsferien
2008-12-23,Weihnachtsferien
2008-12-24,Weihnachtsferien
2008-12-25,Weihnachtsferien
2008-12-26,Weihnachtsferien
2008-12-27,Weihnachtsferien
2008-12-28,Weihnachtsferien
2008-12-29,Weihnachtsferien
2008-12-30,Weihnachtsferien
2008-12-31,Weihnachtsferien
2008-01-01,Weihnachtsferien
2008-01-02,Weihnachtsferien
2008-01-03,Weihnachtsferien
2008-01-04,Weihnachtsferien
2008-01-05,Weihnachtsferien
2008-02-04,Faschingsferien
2008-02-05,Faschingsferien
2008-02-06,Faschingsferien
2008-02-07,Faschingsferien
2008-02-08,Faschingsferien
