,BE
2022-01-29,Winterferien
2022-01-30,Winterferien
2022-01-31,Winterferien
2022-02-01,Winterferien
2022-02-02,Winterferien
2022-02-03,Winterferien
2022-02-04,Winterferien
2022-02-05,Winterferien
2022-04-11,Osterferien
2022-04-12,Osterferien
2022-04-13,Osterferien
2022-04-14,Osterferien
2022-04-15,Osterferien
2022-04-16,Osterferien
2022-04-17,Osterferien
2022-04-18,Osterferien
2022-04-19,Osterferien
2022-04-20,Osterferien
2022-04-21,Osterferien
2022-04-22,Osterferien
2022-04-23,Osterferien
2022-05-27,Pfingstferien
2022-07-07,Sommerferien
2022-07-08,Sommerferien
2022-07-09,Sommerferien
2022-07-10,Sommerferien
2022-07-11,Sommerferien
2022-07-12,Sommerferien
2022-07-13,Sommerferien
2022-07-14,Sommerferien
2022-07-15,Sommerferien
2022-07-16,Sommerferien
2022-07-17,Sommerferien
2022-07-18,Sommerferien
2022-07-19,Sommerferien
2022-07-20,Sommerferien
2022-07-21,Sommerferien
2022-07-22,Sommerferien
2022-07-23,Sommerferien
2022-07-24,Sommerferien
2022-07-25,Sommerferien
2022-07-26,Sommerferien
2022-07-27,Sommerferien
2022-07-28,Sommerferien
2022-07-29,Sommerferien
2022-07-30,Sommerferien
2022-07-31,Sommerferien
2022-08-01,Sommerferien
2022-08-02,Sommerferien
2022-08-03,Sommerferien
2022-08-04,Sommerferien
2022-08-05,Sommerferien
2022-08-06,Sommerferien
2022-08-07,Sommerferien
2022-08-08,Sommerferien
2022-08-09,Sommerferien
2022-08-10,Sommerferien
2022-08-11,Sommerferien
2022-08-12,Sommerferien
2022-08-13,Sommerferien
2022-08-14,Sommerferien
2022-08-15,Sommerferien
2022-08-16,Sommerferien
2022-08-17,Sommerferien
2022-08-18,Sommerferien
2022-08-19,Sommerferien
2022-10-24,Herbstferien
2022-10-25,Herbstferien
2022-10-26,Herbstferien
2022-10-27,Herbstferien
2022-10-28,Herbstferien
2022-10-29,Herbstferien
2022-10-30,Herbstferien
2022-10-31,Herbstferien
2022-11-01,Herbstferien
2022-11-02,Herbstferien
2022-11-03,Herbstferien
2022-11-04,Herbstferien
2022-11-05,Herbstferien
2022-12-22,Weihnachtsferien
2022-12-23,Weihnachtsferien
2022-12-24,Weihnachtsferien
2022-12-25,Weihnachtsferien
2022-12-26,Weihnachtsferien
2022-12-27,Weihnachtsferien
2022-12-28,Weihnachtsferien
2022-12-29,Weihnachtsferien
2022-12-30,Weihnachtsferien
2022-12-31,Weihnachtsferien
