,MV
2023-02-06,Winterferien
2023-02-07,Winterferien
2023-02-08,Winterferien
2023-02-09,Winterferien
2023-02-10,Winterferien
2023-02-11,Winterferien
2023-02-12,Winterferien
2023-02-13,Winterferien
2023-02-14,Winterferien
2023-02-15,Winterferien
2023-02-16,Winterferien
2023-02-17,Winterferien
2023-02-18,Winterferien
2023-04-03,Osterferien
2023-04-04,Osterferien
2023-04-05,Osterferien
2023-04-06,Osterferien
2023-04-07,Osterferien
2023-04-08,Osterferien
2023-04-09,Osterferien
2023-04-10,Osterferien
2023-04-11,Osterferien
2023-04-12,Osterferien
2023-05-19,Pfingstferien
2023-05-26,Pfingstferien
2023-05-27,Pfingstferien
2023-05-28,Pfingstferien
2023-05-29,Pfingstferien
2023-05-30,Pfingstferien
2023-07-17,Sommerferien
2023-07-18,Sommerferien
2023-07-19,Sommerferien
2023-07-20,Sommerferien
2023-07-21,Sommerferien
2023-07-22,Sommerferien
2023-07-23,Sommerferien
2023-07-24,Sommerferien
2023-07-25,Sommerferien
2023-07-26,Sommerferien
2023-07-27,Sommerferien
2023-07-28,Sommerferien
2023-07-29,Sommerferien
2023-07-30,Sommerferien
2023-07-31,Sommerferien
2023-08-01,Sommerferien
2023-08-02,Sommerferien
2023-08-03,Sommerferien
2023-08-04,Sommerferien
2023-08-05,Sommerferien
2023-08-06,Sommerferien
2023-08-07,Sommerferien
2023-08-08,Sommerferien
2023-08-09,Sommerferien
2023-08-10,Sommerferien
2023-08-11,Sommerferien
2023-08-12,Sommerferien
2023-08-13,Sommerferien
2023-08-14,Sommerferien
2023-08-15,Sommerferien
2023-08-16,Sommerferien
2023-08-17,Sommerferien
2023-08-18,Sommerferien
2023-08-19,Sommerferien
2023-08-20,Sommerferien
2023-08-21,Sommerferien
2023-08-22,Sommerferien
2023-08-23,Sommerferien
2023-08-24,Sommerferien
2023-08-25,Sommerferien
2023-08-26,Sommerferien
2023-10-09,Herbstferien
2023-10-10,Herbstferien
2023-10-11,Herbstferien
2023-10-12,Herbstferien
2023-10-13,Herbstferien
2023-10-14,Herbstferien
2023-10-30,Herbstferien
2023-12-21,Weihnachtsferien
2023-12-22,Weihnachtsferien
2023-12-23,Weihnachtsferien
2023-12-24,Weihnachtsferien
2023-12-25,Weihnachtsferien
2023-12-26,Weihnachtsferien
2023-12-27,Weihnachtsferien
2023-12-28,Weihnachtsferien
2023-12-29,Weihnachtsferien
2023-12-30,Weihnachtsferien
2023-12-31,Weihnachtsferien
